comment_sentences,word_mover_distance,useful_wmd
gouvernement cest vraiment parrain france ,2.333435927985158,0
pensais lon pourrait tomber aussi bas magouilles quautant français resteraient aussi aveugles manœuvres dun président service dun clan ,1.6567662914061354,0
si henri gouvernement dispose tout arsenal juristes savait dévolution biens passait mal a donc tenté comme plus plus souvent coup tordu sous forme dun cavalier  budgétaire évitant tout débat fond na encore compris juges conseil constitutionnel fait politiques retraités là faire respecter constitution faire plaisir revanche évidente ,0.7430304550789665,1
patrimoine architectural fait partie richesse collective gouvernement na aucun scrupule céder gratuitement bien tous quelques affidés comme lont fait communistes lors privatisations suivi leffondrement système ,0.9696565958446302,1
bâtiments parcs châteaux  patrimoine immobilier letat discrètement escamotés sans débat pendant temps invite discuter sans fin lidentité nationale quel tour passepasse quelle escroquerie organisée  ,0.9313400577213509,1
comme tout reste letat ultralibéral débarrasse tout pourrait justifier maintien limpôt seconde vue cest effectivement but privé récupère biens ancestraux collectivités nayant moyens entretenir a quand vente cathédrales transformer parkings centreville étages  ,0.9945282820761299,1
scandaleux cest labsence débat autour dilapidation patrimoine historique autre lois votées catimini cavalier législatif procédure durgence grand paris heureusement quil existe encore quelques barrières toute puissance monarque courtisans combien temps encore  ,0.8655141037223862,1
ajouter commentaire francois p peut aussi dire députés semble til meme besoin votent lois sans connaitre impacts juridiques nest première fois cest sans doute trop demander sans doute trop responsabilités plus charge représentants peuple ,0.9453226433086833,1
max gouvernement peut connaître toutes subtilités droit  surtout contrairement opinion commune droit nest nullement figé conseil constitutionnel là ça sinon quoi serviraitil cest pourquoi terme camouflet monde aime tant injurieux mal venu passe taxe carbone monuments sugne fonctionnement normal dune démocratie ,1.338626767026068,0
lieu dembaucher spin doctors ,1.9920616640488735,0
ministres devraient sattacher ,2.5371360412599615,0
services juristes rédiger ,3.5030354600336295,0
leurs projets loi ,3.414499537275215,0
censure  ,4.368473839173326,0
gouvernement connaitil droit  ,2.14630259141455,0
